
47/10000,0,-10,0.009986
48/10000,0,-10,0.009986
49/10000,0,-10,0.009986
50/10000,0,-10,0.009986
51/10000,0,-10,0.009986
52/10000,0,-10,0.009986
53/10000,0,-10,0.009986
54/10000,0,-10,0.009986
55/10000,0,-10,0.009986
56/10000,0,-10,0.009986
57/10000,0,-10,0.009986
58/10000,0,-10,0.009986
59/10000,0,-10,0.009986
60/10000,0,-10,0.009986
61/10000,0,-10,0.009986
62/10000,1,0,0.009986
63/10000,0,-10,0.009986
64/10000,0,-10,0.009986
65/10000,0,-10,0.009986
66/10000,0,-10,0.009986
67/10000,0,-10,0.009986
68/10000,0,-10,0.009986
69/10000,0,-10,0.009986
70/10000,0,-10,0.009986
71/10000,0,-10,0.009986
72/10000,0,-10,0.009986
73/10000,0,-10,0.009986
74/10000,0,-10,0.009986
75/10000,0,-10,0.009986
76/10000,0,-10,0.009986
77/10000,0,-10,0.009986
78/10000,1,0,0.009986
79/10000,0,-10,0.009986
80/10000,0,-10,0.009986
81/10000,0,-10,0.009986
82/10000,0,-10,0.009986
83/10000,0,-10,0.009986
84/10000,0,-10,0.009986
85/10000,0,-10,0.009986
86/10000,0,-10,0.009986
87/10000,1,0,0.009986
88/10000,1,0,0.009986
89/10000,1,0,0.009986
90/10000,0,-10,0.009986
91/10000,0,-10,0.009986
92/10000,0,-10,0.009986
93/10000,1,0,0.009986
94/10000,0,-10,0.009986
95/10000,0,-10,0.009986
96/10000,0,-10,0.009986
97/10000,1,0,0.009986
98/10000,1,0,0.009986
99/10000,0,-10,0.009986
100/10000,0,-10,0.009986
101/10000,0,-10,0.009986
102/10000,0,-10,0.009986
103/10000,0,-10,0.009986
104/10000,0,-10,0.009986
105/10000,0,-10,0.009986
106/10000,0,-10,0.009986
107/10000,1,0,0.009986
108/10000,0,-10,0.009986
109/10000,1,0,0.009986
110/10000,0,-10,0.009986
111/10000,0,-10,0.009986
112/10000,0,-10,0.009986
113/10000,1,0,0.009986
114/10000,1,0,0.009986
115/10000,0,-10,0.009986
116/10000,0,-10,0.009986
117/10000,1,0,0.009986
118/10000,0,-10,0.009986
119/10000,0,-10,0.009986
120/10000,0,-10,0.009986
121/10000,1,0,0.009986
122/10000,0,-10,0.009986
123/10000,0,-10,0.009986
124/10000,0,-10,0.009986
125/10000,0,-10,0.009986
126/10000,0,-10,0.009986
127/10000,0,-10,0.009986
128/10000,0,-10,0.009986
129/10000,1,0,0.009986
130/10000,0,-10,0.009986
131/10000,0,-10,0.009986
132/10000,0,-10,0.009986
133/10000,0,-10,0.009986
134/10000,0,-10,0.009986
135/10000,0,-10,0.009986
136/10000,0,-10,0.009986
137/10000,0,-10,0.009986
138/10000,0,-10,0.009986
139/10000,0,-10,0.009986
140/10000,1,0,0.009986
141/10000,0,-10,0.009986
142/10000,0,-10,0.009986
143/10000,0,-10,0.009986
144/10000,1,0,0.009986
145/10000,0,-10,0.009986
146/10000,0,-10,0.009986
147/10000,1,0,0.009986
148/10000,0,-10,0.009986
149/10000,0,-10,0.009986
150/10000,1,0,0.009986
151/10000,0,-10,0.009986
152/10000,0,-10,0.009986
153/10000,0,-10,0.009986
154/10000,0,-10,0.009986
155/10000,1,0,0.009986
156/10000,0,-10,0.009986
157/10000,0,-10,0.009986
158/10000,0,-10,0.009986
159/10000,0,-10,0.009986
160/10000,0,-10,0.009986
161/10000,1,0,0.009986
162/10000,0,-10,0.009986
163/10000,1,0,0.009986
164/10000,1,0,0.009986
165/10000,1,0,0.009986
166/10000,0,-10,0.009986
167/10000,1,0,0.009986
168/10000,1,0,0.009986
169/10000,1,0,0.009986
170/10000,0,-10,0.009986
171/10000,1,0,0.009986
172/10000,1,0,0.009986
173/10000,0,-10,0.009986
174/10000,1,0,0.009986
175/10000,2,10,0.009986
176/10000,0,-10,0.009986
177/10000,1,0,0.009986
178/10000,0,-10,0.009986
179/10000,2,10,0.009986
180/10000,2,10,0.009986
181/10000,2,10,0.009986
182/10000,2,10,0.009986
183/10000,0,-10,0.009986
184/10000,0,-10,0.009986
185/10000,0,-10,0.009986
186/10000,0,-10,0.009986
187/10000,2,10,0.009986
188/10000,0,-10,0.009986
189/10000,1,0,0.009986
190/10000,1,0,0.009986
191/10000,0,-10,0.009986
192/10000,0,-10,0.009986
193/10000,1,0,0.009986
194/10000,0,-10,0.009986
195/10000,1,0,0.009986
196/10000,0,-10,0.009986
197/10000,0,-10,0.009986
198/10000,0,-10,0.009986
199/10000,1,0,0.009986
